         685164 function calls (671689 primitive calls) in 0.511 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4761/1594    0.002    0.000    0.281    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1262    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      762    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      762    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      762    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1262    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      743    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      500    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    925/7    0.000    0.000    0.510    0.073 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6279    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      720    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2876    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      738    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1386    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
     1894    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      720    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  720/718    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      743    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    721/6    0.002    0.000    0.510    0.085 <frozen importlib._bootstrap>:663(_load_unlocked)
      737    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     1262    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      732    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
     2211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     2211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      737    0.004    0.000    0.041    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    762/6    0.002    0.000    0.511    0.085 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    762/6    0.003    0.000    0.511    0.085 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:994(_gcd_import)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    44/43    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       76    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1172    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      732    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      732    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      608    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      715    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1058    0.008    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       76    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     1342    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      715    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1058    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     2013    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      671    0.001    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     5863    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      715    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     5863    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1342    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    671/5    0.001    0.000    0.510    0.102 <frozen importlib._bootstrap_external>:722(exec_module)
     2754    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      671    0.005    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1025    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      671    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      949    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      576    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2307(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2312(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2962(_apply_env_variables)
        1    0.000    0.000    0.003    0.003 Image.py:30(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:489(_E)
        1    0.000    0.000    0.000    0.000 Image.py:524(Image)
        1    0.000    0.000    0.000    0.000 Image.py:70(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:74(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:78(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       38    0.001    0.000    0.463    0.012 __init__.py:1(<module>)
        3    0.000    0.000    0.017    0.006 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
